UniqueID,include,Site,Region,SID,SpecID,ACE_file,NAU_ACE#,FractionModern,plus/minus,D14C(%0),plus/minus,14Cage(BP),plus/minus,14C_notes,cal age (95% CI) (cal. BP),,med_cal_age,tempID,SpecStatus,Fragmentation,Taxon1,Taxon2,PicIDtop,PickIDback,SamDepth,Long,Lat,Depth,Temp,Salinity,Year,Month,Day,WgSpec,Status,ApicPl,Petals,TubAbr1,TubAbr2,TubAbr3,SurfAbr1,SurfAbr2,SurfAbr3,PoreAbr1,PoreAbr2,PoreAbr3,Frag1,Frag2,Frag3,Frag4,Encrust,Dh,Key
166,1,CK-5,Cedar Key,CK-5-3,5,29C230629GAS,4816.1.1,0.8253,0.0092,-174.7,9.2,1543,89,,1289,843,1071,Fragment,dead,fragment,m,Transenella,CK5-Sp166out,CK5-Sp166in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0027,Dated,,,,,,,,,,,,,,,,,,
167,1,CK-5,Cedar Key,CK-5-3,6,29C230629GAS,4817.1.1,0.8879,0.0095,-112.1,9.5,955,86,,687,310,520,Fragment,dead,fragment,m,Transenella,CK5-Sp167out,CK5-Sp167in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0027,Dated,,,,,,,,,,,,,,,,,,
168,0,CK-5,Cedar Key,CK-5-3,7,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp168out,CK5-Sp168in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0024,Stored,,,,,,,,,,,,,,,,,,
169,0,CK-5,Cedar Key,CK-5-3,8,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp169out,CK5-Sp169in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0018,Stored,,,,,,,,,,,,,,,,,,
170,1,CK-5,Cedar Key,CK-5-3,9,29C230629GAS,4818.1.1,0.7428,0.0087,-257.2,8.7,2388,94,,2296,1742,2013,Fragment,dead,fragment,m,Lucinidae,CK5-Sp170out,CK5-Sp170in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0547,Dated,,,,,,,,,,,,,,,,,,
171,1,CK-5,Cedar Key,CK-5-3,10,29C230629GAS,4819.1.1,0.6829,0.0082,-317.1,8.2,3064,97,,3151,2577,2849,Fragment,dead,fragment,m,Lucinidae,CK5-Sp171out,CK5-Sp171in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0049,Dated,,,,,,,,,,,,,,,,,,
172,1,CK-5,Cedar Key,CK-5-3,11,29C230629GAS,4820.1.1,0.8619,0.0094,-138.1,9.4,1193,88,,925,529,724,Fragment,dead,fragment,m,Lucinidae,CK5-Sp172out,CK5-Sp172in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0066,Dated,,,,,,,,,,,,,,,,,,
173,1,CK-5,Cedar Key,CK-5-3,12,29C230629GAS,4821.1.1,0.8313,0.0091,-168.7,9.1,1484,88,,1244,784,1011,Fragment,dead,fragment,m,Lucinidae,CK5-Sp173out,CK5-Sp173in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0133,Dated,,,,,,,,,,,,,,,,,,
174,1,CK-5,Cedar Key,CK-5-3,13,29C230629GAS,4822.1.1,0.4972,0.007,-502.8,7,5612,113,,6251,5667,5959,Fragment,dead,fragment,m,Lucinidae,CK5-Sp174out,CK5-Sp174in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0026,Dated,,,,,,,,,,,,,,,,,,
175,1,CK-5,Cedar Key,CK-5-3,14,29C230629GAS,4823.1.1,0.9245,0.0097,-75.5,9.7,631,85,,417,-5,219,Fragment,dead,fragment,m,Lucinidae,CK5-Sp175out,CK5-Sp175in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0044,Dated,,,,,,,,,,,,,,,,,,
176,0,CK-5,Cedar Key,CK-5-3,15,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp176out,CK5-Sp176in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0111,Stored,,,,,,,,,,,,,,,,,,
177,0,CK-5,Cedar Key,CK-5-3,16,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp177out,CK5-Sp177in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0059,Stored,,,,,,,,,,,,,,,,,,
178,0,CK-5,Cedar Key,CK-5-3,17,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp178out,"CK5-Sp178in
",surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0044,Stored,,,,,,,,,,,,,,,,,,
179,1,CK-5,Cedar Key,CK-5-3,18,29C230629GAS,4824.1.1,0.7965,0.009,-203.5,9,1828,90,,1606,1131,1364,Fragment,dead,fragment,e,Echinoid,CK5-Sp179s1,CK5-Sp179s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.082,Dated,,,,,,,,,,,,,,,,,,
180,1,CK-5,Cedar Key,CK-5-3,19,29C230629GAS,4825.1.1,0.6482,0.0081,-351.8,8.1,3483,100,,3648,3054,3352,Fragment,dead,fragment,e,Echinoid,CK5-Sp180s1,CK5-Sp180s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0831,Dated,,,,,,,,,,,,,,,,,,
181,1,CK-5,Cedar Key,CK-5-3,20,29C230629GAS,4826.1.1,0.652,0.008,-348,8,3436,99,,3575,2992,3294,Fragment,dead,fragment,e,Echinoid,CK5-Sp181s1,CK5-Sp181s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0153,Dated,,,,,,,,,,,,,,,,,,
182,1,CK-5,Cedar Key,CK-5-3,21,29C230629GAS,4827.1.1,0.7178,0.0084,-282.2,8.4,2663,94,,2676,2089,2365,Fragment,dead,fragment,e,Echinoid,CK5-Sp182s1,CK5-Sp182s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0432,Dated,,,,,,,,,,,,,,,,,,
183,1,CK-5,Cedar Key,CK-5-3,22,29C230705GAS,4858.1.1,0.7246,0.0073,-275.4,7.3,2588,81,,2534,1988,2256,Fragment,dead,fragment,e,Echinoid,CK5-Sp183s1,CK5-Sp183s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0356,Dated,,,,,,,,,,,,,,,,,,
184,0,CK-5,Cedar Key,CK-5-3,23,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp184s1,CK5-Sp184s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0168,Stored,,,,,,,,,,,,,,,,,,
185,0,CK-5,Cedar Key,CK-5-3,24,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp185s1,CK5-Sp185s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0185,Stored,,,,,,,,,,,,,,,,,,
186,0,CK-5,Cedar Key,CK-5-3,25,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp186s1,CK5-Sp186s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0615,Stored,,,,,,,,,,,,,,,,,,
187,0,CK-5,Cedar Key,CK-5-3,26,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp187s1,CK5-Sp187s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0313,Stored,,,,,,,,,,,,,,,,,,
188,0,CK-5,Cedar Key,CK-5-3,27,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp188s1,CK5-Sp188s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0045,Stored,,,,,,,,,,,,,,,,,,
189,0,CK-5,Cedar Key,CK-5-4,1,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp189out,CK5-Sp189in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0055,Stored,,,,,,,,,,,,,,,,,,
190,0,CK-5,Cedar Key,CK-5-4,2,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp190out,CK5-Sp190in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0022,Stored,,,,,,,,,,,,,,,,,,
191,0,CK-5,Cedar Key,CK-5-4,3,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp191out,CK5-Sp191in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0031,Stored,,,,,,,,,,,,,,,,,,
192,0,CK-5,Cedar Key,CK-5-4,4,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp192out,CK5-Sp192in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0308,Stored,,,,,,,,,,,,,,,,,,
193,0,CK-5,Cedar Key,CK-5-4,5,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp193out,CK5-Sp193in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0128,Stored,,,,,,,,,,,,,,,,,,
194,0,CK-5,Cedar Key,CK-5-4,6,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp194out,CK5-Sp194in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0049,Stored,,,,,,,,,,,,,,,,,,
195,0,CK-5,Cedar Key,CK-5-4,7,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp195out,CK5-Sp195in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0047,Stored,,,,,,,,,,,,,,,,,,
196,0,CK-5,Cedar Key,CK-5-4,8,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp196out,CK5-Sp196in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0047,Stored,,,,,,,,,,,,,,,,,,
197,0,CK-5,Cedar Key,CK-5-4,9,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp197out,CK5-Sp197in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0029,Stored,,,,,,,,,,,,,,,,,,
198,0,CK-5,Cedar Key,CK-5-4,10,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp198out,CK5-Sp198in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0025,Stored,,,,,,,,,,,,,,,,,,
199,0,CK-5,Cedar Key,CK-5-4,11,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp199out,CK5-Sp199in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0728,Stored,,,,,,,,,,,,,,,,,,
200,0,CK-5,Cedar Key,CK-5-4,12,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp200out,CK5-Sp200in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0125,Stored,,,,,,,,,,,,,,,,,,
201,0,CK-5,Cedar Key,CK-5-4,13,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp201out,CK5-Sp201in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0048,Stored,,,,,,,,,,,,,,,,,,
202,0,CK-5,Cedar Key,CK-5-4,14,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp202out,CK5-SP202in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0063,Stored,,,,,,,,,,,,,,,,,,
203,0,CK-5,Cedar Key,CK-5-4,15,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp203out,CK5-Sp203in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0033,Stored,,,,,,,,,,,,,,,,,,
204,0,CK-5,Cedar Key,CK-5-4,16,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp204out,CK5-Sp204in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0151,Stored,,,,,,,,,,,,,,,,,,
205,0,CK-5,Cedar Key,CK-5-4,17,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp205out,CK5-Sp205in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0114,Stored,,,,,,,,,,,,,,,,,,
206,0,CK-5,Cedar Key,CK-5-4,18,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp206out,CK5-Sp206in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0192,Stored,,,,,,,,,,,,,,,,,,
207,0,CK-5,Cedar Key,CK-5-4,19,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp207out,CK5-Sp207in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0031,Stored,,,,,,,,,,,,,,,,,,
208,0,CK-5,Cedar Key,CK-5-4,20,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp208out,CK5-Sp208in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0034,Stored,,,,,,,,,,,,,,,,,,
209,1,CK-5,Cedar Key,CK-5-4,21,29C230705GAS,4859.1.1,0.6922,0.0072,-307.8,7.2,2955,84,,2965,2433,2716,Fragment,dead,fragment,e,Echinoid,CK5-Sp209s1,CK5-Sp209s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0782,Dated,,,,,,,,,,,,,,,,,,
210,1,CK-5,Cedar Key,CK-5-4,22,29C230705GAS,4860.1.1,0.787,0.0075,-213,7.5,1924,77,,1688,1272,1460,Fragment,dead,fragment,e,Echinoid,CK5-Sp210s1,CK5-Sp210s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0635,Dated,,,,,,,,,,,,,,,,,,
211,1,CK-5,Cedar Key,CK-5-4,23,29C230705GAS,4861.1.1,0.8268,0.0082,-173.2,8.2,1528,80,,1271,849,1056,Fragment,dead,fragment,e,Echinoid,CK5-Sp211s1,CK5-Sp211s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0439,Dated,,,,,,,,,,,,,,,,,,
212,1,CK-5,Cedar Key,CK-5-4,24,29C230705GAS,4862.1.1,0.7835,0.008,-216.5,8,1960,82,,1724,1285,1499,Fragment,dead,fragment,e,Echinoid,CK5-Sp212s1,CK5-Sp212s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0613,Dated,,,,,,,,,,,,,,,,,,
213,1,CK-5,Cedar Key,CK-5-4,25,29C230705GAS,4863.1.1,0.7909,0.0081,-209.1,8.1,1884,83,,1671,1224,1421,Fragment,dead,fragment,e,Echinoid,CK5-Sp213s1,CK5-Sp213s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0386,Dated,,,,,,,,,,,,,,,,,,
214,0,CK-5,Cedar Key,CK-5-4,26,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp214s1,CK5-Sp214s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0104,Stored,,,,,,,,,,,,,,,,,,
215,0,CK-5,Cedar Key,CK-5-4,27,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp215s1,CK5-Sp215s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0324,Stored,,,,,,,,,,,,,,,,,,
216,0,CK-5,Cedar Key,CK-5-4,28,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp216s1,CK5-Sp216s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0127,Stored,,,,,,,,,,,,,,,,,,
217,0,CK-5,Cedar Key,CK-5-4,29,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp217s1,CK5-Sp217s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0109,Stored,,,,,,,,,,,,,,,,,,
218,0,CK-5,Cedar Key,CK-5-4,30,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp218s1,CK5-Sp218s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0122,Stored,,,,,,,,,,,,,,,,,,
219,0,CK-5,Cedar Key,CK-5-6,1,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp219out,CK5-Sp219in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0162,Stored,,,,,,,,,,,,,,,,,,
220,0,CK-5,Cedar Key,CK-5-6,2,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp220out,CK5-Sp220in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0753,Stored,,,,,,,,,,,,,,,,,,
221,0,CK-5,Cedar Key,CK-5-6,3,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp221out,CK5-Sp221in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0039,Stored,,,,,,,,,,,,,,,,,,
222,0,CK-5,Cedar Key,CK-5-6,4,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp222out,CK5-Sp222in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0139,Stored,,,,,,,,,,,,,,,,,,
223,0,CK-5,Cedar Key,CK-5-6,5,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp223out,CK5-Sp223in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0231,Stored,,,,,,,,,,,,,,,,,,
224,0,CK-5,Cedar Key,CK-5-6,6,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp224out,CK5-Sp224in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0274,Stored,,,,,,,,,,,,,,,,,,
225,0,CK-5,Cedar Key,CK-5-6,7,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp225out,CK5-Sp225in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0446,Stored,,,,,,,,,,,,,,,,,,
226,0,CK-5,Cedar Key,CK-5-6,8,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp226out,CK5-Sp226in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0159,Stored,,,,,,,,,,,,,,,,,,
227,0,CK-5,Cedar Key,CK-5-6,9,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp227out,CK5-Sp227in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0072,Stored,,,,,,,,,,,,,,,,,,
228,0,CK-5,Cedar Key,CK-5-6,10,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp228out,CK5-Sp228in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0048,Stored,,,,,,,,,,,,,,,,,,
229,0,CK-5,Cedar Key,CK-5-6,11,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp229out,CK5-Sp229in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0032,Stored,,,,,,,,,,,,,,,,,,
230,0,CK-5,Cedar Key,CK-5-6,12,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp230out,CK5-Sp230in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.046,Stored,,,,,,,,,,,,,,,,,,
231,0,CK-5,Cedar Key,CK-5-6,13,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp231out,CK5-Sp231in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0115,Stored,,,,,,,,,,,,,,,,,,
232,0,CK-5,Cedar Key,CK-5-6,14,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp232out,CK5-Sp232in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0472,Stored,,,,,,,,,,,,,,,,,,
233,0,CK-5,Cedar Key,CK-5-6,15,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp233out,CK5-Sp233in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0052,Stored,,,,,,,,,,,,,,,,,,
234,0,CK-5,Cedar Key,CK-5-6,16,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp234out,CK5-Sp234in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0056,Stored,,,,,,,,,,,,,,,,,,
235,0,CK-5,Cedar Key,CK-5-6,17,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp235out,CK5-Sp235in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0079,Stored,,,,,,,,,,,,,,,,,,
236,0,CK-5,Cedar Key,CK-5-6,18,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp236out,CK5-Sp236in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0022,Stored,,,,,,,,,,,,,,,,,,
237,0,CK-5,Cedar Key,CK-5-6,19,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp237out,CK5-Sp237in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0055,Stored,,,,,,,,,,,,,,,,,,
238,0,CK-5,Cedar Key,CK-5-6,20,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp238out,CK5-Sp238in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0043,Stored,,,,,,,,,,,,,,,,,,
239,1,CK-5,Cedar Key,CK-5-6,21,29C230705GAS,4864.1.1,0.7525,0.0077,-247.5,7.7,2284,82,,2138,1626,1882,Fragment,dead,fragment,e,Echinoid,CK5-Sp239s1,CK5-Sp239s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0583,Dated,,,,,,,,,,,,,,,,,,
240,1,CK-5,Cedar Key,CK-5-6,22,29C230705GAS,4865.1.1,0.8551,0.0084,-144.9,8.4,1258,79,,980,586,781,Fragment,dead,fragment,e,Echinoid,CK5-Sp240s1,CK5-Sp240s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0555,Dated,,,,,,,,,,,,,,,,,,
241,1,CK-5,Cedar Key,CK-5-6,23,29C230705GAS,4866.1.1,0.9135,0.0087,-86.5,8.7,727,76,,505,104,322,Fragment,dead,fragment,e,Echinoid,CK5-Sp241s1,CK5-Sp241s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.1119,Dated,,,,,,,,,,,,,,,,,,
242,1,CK-5,Cedar Key,CK-5-6,24,29C230705GAS,4867.1.1,0.7163,0.0074,-283.7,7.4,2681,83,,2671,2129,2387,Fragment,dead,fragment,e,Echinoid,CK5-Sp242s1,CK5-Sp242s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0629,Dated,,,,,,,,,,,,,,,,,,
243,0,CK-5,Cedar Key,CK-5-6,25,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp243s1,CK5-Sp243s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0437,Stored,,,,,,,,,,,,,,,,,,
244,0,CK-5,Cedar Key,CK-5-6,26,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp244s1,CK5-Sp244s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0437,Stored,,,,,,,,,,,,,,,,,,
245,0,CK-5,Cedar Key,CK-5-6,27,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp245s1,CK5-Sp245s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0418,Stored,,,,,,,,,,,,,,,,,,
246,0,CK-5,Cedar Key,CK-5-6,28,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp246s1,CK5-Sp246s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0261,Stored,,,,,,,,,,,,,,,,,,
247,0,CK-5,Cedar Key,CK-5-6,29,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp247s1,CK5-Sp247s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0657,Stored,,,,,,,,,,,,,,,,,,
248,0,CK-5,Cedar Key,CK-5-6,30,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp248s1,CK5-Sp248s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0475,Stored,,,,,,,,,,,,,,,,,,
249,1,CK-5,Cedar Key,CK-5-7,1,29C230705GAS,4868.1.1,0.8369,0.0083,-163.1,8.3,1430,80,,1171,733,954,Fragment,dead,fragment,m,Transenella,CK5-Sp249out,CK5-Sp249in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.1544,Dated,,,,,,,,,,,,,,,,,,
250,1,CK-5,Cedar Key,CK-5-7,2,29C230705GAS,4869.1.1,0.8322,0.0082,-167.8,8.2,1476,79,,1226,786,1002,Fragment,dead,fragment,m,Transenella,CK5-Sp250out,CK5-Sp250in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.1044,Dated,,,,,,,,,,,,,,,,,,
251,1,CK-5,Cedar Key,CK-5-7,3,29C230705GAS,4870.1.1,0.9226,0.009,-77.4,9,647,78,,435,-2,237,Fragment,dead,fragment,m,Transenella,CK5-Sp251out,CK5-Sp251in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0321,Dated,,,,,,,,,,,,,,,,,,
252,1,CK-5,Cedar Key,CK-5-7,4,29C230705GAS,4871.1.1,0.8146,0.0083,-185.4,8.3,1647,81,,1371,952,1174,Fragment,dead,fragment,m,Transenella,CK5-Sp252out,CK5-Sp252in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0445,Dated,,,,,,,,,,,,,,,,,,
253,1,CK-5,Cedar Key,CK-5-7,5,29C230705GAS,4872.1.1,0.8212,0.0083,-178.8,8.3,1582,81,,1306,902,1110,Fragment,dead,fragment,m,Transenella,CK5-Sp253out,CK5-Sp253in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0194,Dated,,,,,,,,,,,,,,,,,,
254,1,CK-5,Cedar Key,CK-5-7,6,29C230705GAS,4873.1.1,0.8822,0.0085,-117.8,8.5,1007,77,,736,381,563,Fragment,dead,fragment,m,Transenella,CK5-Sp254out,CK5-Sp254in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0147,Dated,,,,,,,,,,,,,,,,,,
255,1,CK-5,Cedar Key,CK-5-7,7,29C230705GAS,4874.1.1,0.4762,0.0054,-523.8,5.4,5959,92,,6597,6082,6328,Fragment,dead,fragment,m,Transenella,CK5-Sp255out,CK5-Sp255in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0481,Dated,,,,,,,,,,,,,,,,,,
256,1,CK-5,Cedar Key,CK-5-7,8,29C230705GAS,4875.1.1,0.7782,0.0076,-221.8,7.6,2014,79,,1793,1338,1560,Fragment,dead,fragment,m,Transenella,CK5-Sp256out,CK5-Sp256in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0324,Dated,,,,,,,,,,,,,,,,,,
257,1,CK-5,Cedar Key,CK-5-7,9,29C230705GAS,4876.1.1,0.885,0.0083,-115,8.3,981,76,,708,355,543,Fragment,dead,fragment,m,Transenella,CK5-Sp257out,CK5-Sp257in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0596,Dated,,,,,,,,,,,,,,,,,,
258,1,CK-5,Cedar Key,CK-5-7,10,29C230705GAS,4877.1.1,0.8109,0.008,-189.1,8,1684,79,,1407,981,1210,Fragment,dead,fragment,m,Transenella,CK5-Sp258out,CK5-Sp258in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0322,Dated,,,,,,,,,,,,,,,,,,
